,date,open,high,low,close,diff,volume,gov_trade,for_trade,open_lastclose_ratio,high_close_ratio,low_close_ratio,close_lastclose_ratio,volume_lastvolume_ratio,close_ma5_ratio,volume_ma5_ratio,close_ma10_ratio,volume_ma10_ratio,close_ma20_ratio,volume_ma20_ratio,close_boll_low,close_boll_high,close_ma60_ratio,volume_ma60_ratio,close_ma120_ratio,volume_ma120_ratio,close_ma5,volume_ma5,close_ma10,volume_ma10,close_ma20,volume_ma20,close_boll_low,close_ma60,volume_ma60,close_ma120,volume_ma120
0,2020-05-04,91100,92900,90700,91500,2100,1264378,-69480,-312047,0.0,0.015300546448087432,-0.008743169398907104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2020-05-06,93300,94200,92600,93200,1700,1039600,56951,-69086,0.019672131147540985,0.01072961373390558,-0.006437768240343348,0.018579234972677595,-0.17777753171915361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-05-07,92800,93000,91800,92600,600,826239,29453,-132501,-0.004291845493562232,0.004319654427645789,-0.008639308855291577,-0.006437768240343348,-0.20523374374759523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-05-08,93000,95400,93000,94500,1900,1749677,251463,103204,0.004319654427645789,0.009523809523809525,-0.015873015873015872,0.020518358531317494,1.1176402953624798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-05-11,95800,96500,93500,93700,800,1889278,-119704,-40917,0.013756613756613757,0.029882604055496264,-0.0021344717182497333,-0.008465608465608466,0.07978672635006347,0.00644468313641246,0.3955015473088881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93100.0,1353834.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-05-12,93200,93800,91100,91900,1800,1259874,-161980,-206206,-0.005336179295624333,0.020674646354733407,-0.008705114254624592,-0.0192102454642476,-0.3331452544305285,-0.0137368534020176,-0.06878356779667538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93180.0,1352933.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-05-13,90500,93100,90500,93100,1200,966892,-12967,-34651,-0.015233949945593036,0.0,-0.027926960257787327,0.013057671381936888,-0.23254865169056588,-0.0006440532417346501,-0.2775718922408383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93160.0,1338392.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-05-14,92600,92900,91500,92300,800,982612,-45106,-142391,-0.0053705692803437165,0.0065005417118093175,-0.00866738894907909,-0.008592910848549946,0.01625827910459493,-0.008592910848549946,-0.2825903763733452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93100.0,1369666.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-05-15,92000,92700,91200,92300,0,822472,23950,-84702,-0.0032502708559046588,0.004333694474539545,-0.011917659804983749,0.0,-0.1629737882297387,-0.0038851715950787825,-0.30547692939588544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92660.0,1184225.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-05-18,92100,92200,91000,91900,400,741214,-42748,-93008,-0.0021668472372697724,0.003264417845484222,-0.009793253536452665,-0.004333694474539545,-0.09879728428444981,-0.004333694474539545,-0.22354487599579645,-0.008629989212513484,-0.35782460174960906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92300.0,954612.8,92700.0,1154223.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
